zipCode,latitude,longitude,price,numBeds,numBaths,area,address,timeOnZillow,detailURL
37920,35.95759,-83.882744,1950.0,2,1.0,800,"2206 Maplewood Dr, Knoxville, TN 37920",1564010938,/homedetails/2206-Maplewood-Dr-Knoxville-TN-37920/41656000_zpid/
37920,35.95866,-83.93833,3600.0,3,2.5,1200,"1927 Highland Ave #1927, Knoxville, TN 37916",1391661976,/homedetails/1927-Highland-Ave-1927-Knoxville-TN-37916/2073175755_zpid/
37920,35.910076,-83.74688,1900.0,3,2.0,1200,"1408 Hansard Dr, Seymour, TN 37865",1699028217,/homedetails/1408-Hansard-Dr-Seymour-TN-37865/42475992_zpid/
37920,35.935772,-83.88115,1000.0,2,1.0,733,"496 E Red Bud Rd, Knoxville, TN 37920",1033826228,/homedetails/496-E-Red-Bud-Rd-Knoxville-TN-37920/55215285_zpid/
37920,35.964333,-83.920746,3100.0,2,2.0,1200,"505 Union Ave APT 209, Knoxville, TN 37902",1031951854,/homedetails/505-Union-Ave-APT-209-Knoxville-TN-37902/186228037_zpid/
37920,35.960403,-83.92832,1250.0,1,1.0,507,"510 14th St APT 204, Knoxville, TN 37916",1421437434,/homedetails/510-14th-St-APT-204-Knoxville-TN-37916/41654305_zpid/
37920,35.95057,-83.98169,1750.0,2,2.0,900,"912 Hollywood Rd, Knoxville, TN 37919",1298309740,/homedetails/912-Hollywood-Rd-Knoxville-TN-37919/41666595_zpid/
37920,35.899277,-83.93524,2590.0,3,2.5,2160,"2752 Minuteman Ln, Knoxville, TN 37920",2584987537,/homedetails/2752-Minuteman-Ln-Knoxville-TN-37920/2060856881_zpid/
37920,35.92773,-83.867676,4000.0,3,2.0,2100,"6112 Sevierville Pike, Knoxville, TN 37920",526837278,/homedetails/6112-Sevierville-Pike-Knoxville-TN-37920/41683788_zpid/
37920,35.91162,-83.93718,500.0,0,1.0,864,"2309 Maryville Pike, Knoxville, TN 37920",667353104,/homedetails/2309-Maryville-Pike-Knoxville-TN-37920/299824606_zpid/
37920,35.9412,-83.90536,1495.0,1,1.0,750,"3520B Southwood Dr SE, Knoxville, TN 37920",1025497263,/homedetails/3520B-Southwood-Dr-SE-Knoxville-TN-37920/2066534589_zpid/
