zipCode,latitude,longitude,price,numBeds,numBaths,area,address,timeOnZillow,detailURL
37920,35.913193,-83.834496,"$1,600/mo",2,2.5,1200,"456 E Norton Rd #1, Knoxville, TN 37920",1361298528,/homedetails/456-E-Norton-Rd-1-Knoxville-TN-37920/2055026299_zpid/
37920,35.89191,-83.887505,"$2,500/mo",4,3.0,1750,"7340 Coatney Rd #6B46B2CB9, Knoxville, TN 37920",554105250,/homedetails/7340-Coatney-Rd-6B46B2CB9-Knoxville-TN-37920/2055034261_zpid/
37920,35.93988,-83.8824,"$1,500/mo",2,1.5,1100,"755 E Red Bud Rd #101, Knoxville, TN 37920",903353084,/b/755-east-red-bud-road-knoxville-tn-BdGWrF/
37920,35.854298,-83.75263,"$1,400/mo",2,2.0,900,"436 Tittsworth Springs Rd #2, Seymour, TN 37865",821139187,/homedetails/436-Tittsworth-Springs-Rd-2-Seymour-TN-37865/2093775208_zpid/
37920,35.912693,-83.835495,"$1,600/mo",2,2.5,1200,"456 E Norton Rd, Knoxville, TN 37920",1347378268,/homedetails/456-E-Norton-Rd-Knoxville-TN-37920/2055025921_zpid/
37920,35.87285,-83.7493,"$1,500/mo",3,1.5,950,"405 Iroquis Ln #3, Seymour, TN 37865",4334347568,/b/iroquis-lane-405-seymour-tn-BX65Zj/
37920,35.911602,-83.87835,"$2,300/mo",3,2.0,2207,"6339 Stonecress Ln, Knoxville, TN 37920",3769990086,/homedetails/6339-Stonecress-Ln-Knoxville-TN-37920/41683088_zpid/
37920,35.939247,-83.93432,"$2,310/mo",3,1.5,1812,"1976 Cherokee Bluff Dr, Knoxville, TN 37920",8600280184,/homedetails/1976-Cherokee-Bluff-Dr-Knoxville-TN-37920/41668064_zpid/
37920,35.947098,-83.971085,"$1,400/mo",2,1.0,768,"3956 N Bellemeade Ave, Knoxville, TN 37919",5025691663,/homedetails/3956-N-Bellemeade-Ave-Knoxville-TN-37919/41666461_zpid/
37920,35.95185,-83.96543,$725+/mo,3,2.0,1038,"410 Harry St, Knoxville, TN 37919",9039037383,/apartments/knoxville-tn/sutherland-square/5YyDsQ/
